sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mesano_cnm1,mesano_sent,casos_novos_2026,julgados_2026,prim_sent2026,suspensos_2026,dessobrestados_2026,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,Abr 2019,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,Jul 2016,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,Jun 2017,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,Mai 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,Mai 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,Nov 2019,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA GRANDE,14240,9ª ZONA ELEITORAL - ALAGOA GRANDE/PB,Dez 2025,Out 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,Dez 2025,Dez 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,Dez 2025,Dez 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,Dez 2025,Fev 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,Dez 2025,Jan 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALAGOA NOVA,14244,13ª ZONA ELEITORAL - ALAGOA NOVA/PB,Dez 2025,Mar 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Abr 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Abr 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Ago 2012,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Ago 2016,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Ago 2018,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Ago 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Dez 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Dez 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Jul 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Jun 2016,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Jun 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Jun 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Mai 2009,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Mai 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Mai 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Mar 2016,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Mar 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Out 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Set 2013,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ALHANDRA,14304,73ª ZONA ELEITORAL - ALHANDRA/PB,Dez 2025,Set 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ARARUNA,14251,20ª ZONA ELEITORAL - ARARUNA/PB,Dez 2025,Abr 2013,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ARARUNA,14251,20ª ZONA ELEITORAL - ARARUNA/PB,Dez 2025,Dez 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ARARUNA,14251,20ª ZONA ELEITORAL - ARARUNA/PB,Dez 2025,Dez 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PB,Conhecimento criminal,Justiça Eleitoral,G1,PB,ARARUNA,14251,20ª ZONA ELEITORAL - ARARUNA/PB,Dez 2025,Dez 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
